nom_commune_postal;code_postal;libelle_acheminement;latitude;longitude;nom_region
MONTPELLIER;34000;MONTPELLIER;43.6134409138;3.86851657896;Occitanie
MONTPELLIER;34070;MONTPELLIER;43.6134409138;3.86851657896;Occitanie
MONTPELLIER;34080;MONTPELLIER;43.6134409138;3.86851657896;Occitanie
MONTPELLIER;34090;MONTPELLIER;43.6134409138;3.86851657896;Occitanie
FRONTIGNAN;34110;FRONTIGNAN;43.4482458873;3.74923522416;Occitanie
FRONTIGNAN;34110;FRONTIGNAN;43.4482458873;3.74923522416;Occitanie
MIREVAL;34110;MIREVAL;43.5170572388;3.80306531824;Occitanie
VIC LA GARDIOLE;34110;VIC LA GARDIOLE;43.4862693496;3.80342869911;Occitanie
CASTELNAU DE GUERS;34120;CASTELNAU DE GUERS;43.4352029154;3.47130498268;Occitanie
CAZOULS D HERAULT;34120;CAZOULS D HERAULT;43.5018486169;3.45727466019;Occitanie
LEZIGNAN LA CEBE;34120;LEZIGNAN LA CEBE;43.4922078632;3.43960981956;Occitanie
NEZIGNAN L EVEQUE;34120;NEZIGNAN L EVEQUE;43.4214743639;3.4038201049;Occitanie
PEZENAS;34120;PEZENAS;43.462990168;3.41651652125;Occitanie
TOURBES;34120;TOURBES;43.4426128717;3.37325063166;Occitanie
CANDILLARGUES;34130;CANDILLARGUES;43.6184336518;4.06397943606;Occitanie
LANSARGUES;34130;LANSARGUES;43.6364436854;4.08270443666;Occitanie
MAUGUIO;34130;MAUGUIO;43.5928279472;4.00425693337;Occitanie
MUDAISON;34130;MUDAISON;43.6402176481;4.03634822151;Occitanie
ST AUNES;34130;ST AUNES;43.6349513822;3.96578818387;Occitanie
VALERGUES;34130;VALERGUES;43.67240395;4.05870783975;Occitanie
BOUZIGUES;34140;BOUZIGUES;43.4453207742;3.65707555068;Occitanie
LOUPIAN;34140;LOUPIAN;43.4494192218;3.62638267982;Occitanie
MEZE;34140;MEZE;43.4292981138;3.57774572973;Occitanie
ANIANE;34150;ANIANE;43.6835011433;3.59259437611;Occitanie
ARBORAS;34150;ARBORAS;43.7212717776;3.47409312363;Occitanie
LA BOISSIERE;34150;LA BOISSIERE;43.6543984294;3.64428863872;Occitanie
GIGNAC;34150;GIGNAC;43.6393937216;3.57384628868;Occitanie
LAGAMAS;34150;LAGAMAS;43.6745844077;3.5321562547;Occitanie
MONTPEYROUX;34150;MONTPEYROUX;43.711158125;3.50240555203;Occitanie
PUECHABON;34150;PUECHABON;43.7250949806;3.60615436685;Occitanie
ST GUILHEM LE DESERT;34150;ST GUILHEM LE DESERT;43.756664412;3.54505481445;Occitanie
ST JEAN DE FOS;34150;ST JEAN DE FOS;43.6938600875;3.5464221395;Occitanie
BEAULIEU;34160;BEAULIEU;43.7298984427;4.02118900985;Occitanie
BOISSERON;34160;BOISSERON;43.7523646952;4.07621075324;Occitanie
BUZIGNARGUES;34160;BUZIGNARGUES;43.771599327;3.99491070508;Occitanie
CAMPAGNE;34160;CAMPAGNE;43.7858302535;4.03449984137;Occitanie
CASTRIES;34160;CASTRIES;43.6886913473;3.97909849679;Occitanie
GALARGUES;34160;GALARGUES;43.7823313364;4.00782608796;Occitanie
GARRIGUES;34160;GARRIGUES;43.7983239512;4.01049087518;Occitanie
MONTAUD;34160;MONTAUD;43.7478625345;3.96019972895;Occitanie
RESTINCLIERES;34160;RESTINCLIERES;43.7241060431;4.04113886056;Occitanie
ST BAUZILLE DE MONTMEL;34160;ST BAUZILLE DE MONTMEL;43.776222742;3.95036124695;Occitanie
ST DREZERY;34160;ST DREZERY;43.7284558791;3.97774419373;Occitanie
ST GENIES DES MOURGUES;34160;ST GENIES DES MOURGUES;43.6972031545;4.03751252164;Occitanie
ST HILAIRE DE BEAUVOIR;34160;ST HILAIRE DE BEAUVOIR;43.7530311064;4.01945192332;Occitanie
ST JEAN DE CORNIES;34160;ST JEAN DE CORNIES;43.744776404;4.00334009324;Occitanie
SAUSSINES;34160;SAUSSINES;43.758954777;4.05038800559;Occitanie
SUSSARGUES;34160;SUSSARGUES;43.7090174126;3.99451003779;Occitanie
CASTELNAU LE LEZ;34170;CASTELNAU LE LEZ;43.6380218809;3.91265416028;Occitanie
AGONES;34190;AGONES;43.9010523591;3.72652630409;Occitanie
BRISSAC;34190;BRISSAC;43.8680305219;3.70509691756;Occitanie
CAZILHAC;34190;CAZILHAC;43.9181503248;3.69073251307;Occitanie
FERRIERES LES VERRERIES;34190;FERRIERES LES VERRERIES;43.8675537207;3.80028962389;Occitanie
GANGES;34190;GANGES;43.9457300618;3.70523816055;Occitanie
GORNIES;34190;GORNIES;43.8843569278;3.62462795605;Occitanie
LAROQUE;34190;LAROQUE;43.9256514661;3.73343293055;Occitanie
MONTOULIEU;34190;MONTOULIEU;43.919242211;3.80187206005;Occitanie
MOULES ET BAUCELS;34190;MOULES ET BAUCELS;43.9497259922;3.75555165229;Occitanie
ST ANDRE DE BUEGES;34190;ST ANDRE DE BUEGES;43.8538870813;3.64957493521;Occitanie
ST BAUZILLE DE PUTOIS;34190;ST BAUZILLE DE PUTOIS;43.9007200249;3.75901045062;Occitanie
ST MAURICE NAVACELLES;34190;ST MAURICE NAVACELLES;43.8448734239;3.5062650669;Occitanie
SETE;34200;SETE;43.3917705831;3.64705148296;Occitanie
AGEL;34210;AGEL;43.3482634234;2.85354795637;Occitanie
AIGNE;34210;AIGNE;43.3255517298;2.79308395136;Occitanie
AIGUES VIVES;34210;AIGUES VIVES;43.3476601284;2.82493400005;Occitanie
AZILLANET;34210;AZILLANET;43.3236122497;2.74504101895;Occitanie
BEAUFORT;34210;BEAUFORT;43.3040872042;2.76829342504;Occitanie
CASSAGNOLES;34210;CASSAGNOLES;43.3973278254;2.60178289175;Occitanie
LA CAUNETTE;34210;LA CAUNETTE;43.3674487312;2.78721523132;Occitanie
CESSERAS;34210;CESSERAS;43.3311589874;2.70406695025;Occitanie
FELINES MINERVOIS;34210;FELINES MINERVOIS;43.354036783;2.58187245659;Occitanie
FERRALS LES MONTAGNES;34210;FERRALS LES MONTAGNES;43.4188135877;2.6417753577;Occitanie
LA LIVINIERE;34210;LA LIVINIERE;43.3372267899;2.63272340257;Occitanie
MINERVE;34210;MINERVE;43.3629052396;2.72160547585;Occitanie
OLONZAC;34210;OLONZAC;43.2811329903;2.73729224863;Occitanie
OUPIA;34210;OUPIA;43.2886870933;2.77613204437;Occitanie
SIRAN;34210;SIRAN;43.3302941258;2.66325916558;Occitanie
BOISSET;34220;BOISSET;43.4017637442;2.69024605331;Occitanie
COURNIOU;34220;COURNIOU;43.489357501;2.69325210308;Occitanie
RIEUSSEC;34220;RIEUSSEC;43.4221214711;2.73234133546;Occitanie
RIOLS;34220;RIOLS;43.5020076583;2.7978815483;Occitanie
ST PONS DE THOMIERES;34220;ST PONS DE THOMIERES;43.4788345407;2.74852691953;Occitanie
VELIEUX;34220;VELIEUX;43.3902090063;2.74495377415;Occitanie
VERRERIES DE MOUSSANS;34220;VERRERIES DE MOUSSANS;43.4493841395;2.67914780973;Occitanie
ADISSAN;34230;ADISSAN;43.535473519;3.42608475989;Occitanie
AUMELAS;34230;AUMELAS;43.5777908844;3.61727878859;Occitanie
BELARGA;34230;BELARGA;43.5541458971;3.50006172125;Occitanie
CAMPAGNAN;34230;CAMPAGNAN;43.5407744121;3.49239234848;Occitanie
PAULHAN;34230;PAULHAN;43.5382461437;3.45878001705;Occitanie
PLAISSAN;34230;PLAISSAN;43.5590614886;3.52978704961;Occitanie
POPIAN;34230;POPIAN;43.6241428585;3.53329416559;Occitanie
LE POUGET;34230;LE POUGET;43.5925476738;3.51727150563;Occitanie
POUZOLS;34230;POUZOLS;43.6204813753;3.50913792041;Occitanie
PUILACHER;34230;PUILACHER;43.5667592874;3.50438177235;Occitanie
ST BAUZILLE DE LA SYLVE;34230;ST BAUZILLE DE LA SYLVE;43.6102378186;3.55875643759;Occitanie
ST PARGOIRE;34230;ST PARGOIRE;43.5312864116;3.54356674694;Occitanie
ST PONS DE MAUCHIENS;34230;ST PONS DE MAUCHIENS;43.5093525294;3.51237930309;Occitanie
TRESSAN;34230;TRESSAN;43.5728727057;3.48660359956;Occitanie
USCLAS D HERAULT;34230;USCLAS D HERAULT;43.5218019107;3.46731273264;Occitanie
VENDEMIAN;34230;VENDEMIAN;43.5790567885;3.56253401848;Occitanie
COMBES;34240;COMBES;43.602411245;3.0476220061;Occitanie
LAMALOU LES BAINS;34240;LAMALOU LES BAINS;43.5964619142;3.08445405222;Occitanie
PALAVAS LES FLOTS;34250;PALAVAS LES FLOTS;43.533536456;3.92620839566;Occitanie
AVENE;34260;AVENE;43.7483953944;3.10467542388;Occitanie
LE BOUSQUET D ORB;34260;LE BOUSQUET D ORB;43.7025373477;3.15150280873;Occitanie
CAMPLONG;34260;CAMPLONG;43.6898005202;3.11179486832;Occitanie
CEILHES ET ROCOZELS;34260;CEILHES ET ROCOZELS;43.809322318;3.09184232431;Occitanie
GRAISSESSAC;34260;GRAISSESSAC;43.6862996463;3.08522636762;Occitanie
ST ETIENNE ESTRECHOUX;34260;ST ETIENNE ESTRECHOUX;43.6605180139;3.10431751286;Occitanie
LA TOUR SUR ORB;34260;LA TOUR SUR ORB;43.6555250797;3.15144431615;Occitanie
CAZEVIEILLE;34270;CAZEVIEILLE;43.7640929334;3.79487938999;Occitanie
CLARET;34270;CLARET;43.8572510508;3.87648647293;Occitanie
FONTANES;34270;FONTANES;43.7944026303;3.91839771103;Occitanie
LAURET;34270;LAURET;43.8313701737;3.88187587;Occitanie
LES MATELLES;34270;LES MATELLES;43.7279155498;3.8068218202;Occitanie
STE CROIX DE QUINTILLARGUES;34270;STE CROIX DE QUINTILLARGUES;43.7680759693;3.91047320364;Occitanie
ST JEAN DE CUCULLES;34270;ST JEAN DE CUCULLES;43.7516512162;3.83370653974;Occitanie
ST MATHIEU DE TREVIERS;34270;ST MATHIEU DE TREVIERS;43.7692073898;3.87002027505;Occitanie
SAUTEYRARGUES;34270;SAUTEYRARGUES;43.830914793;3.91858398089;Occitanie
LE TRIADOU;34270;LE TRIADOU;43.7367810666;3.85739515015;Occitanie
VACQUIERES;34270;VACQUIERES;43.828951354;3.95059092593;Occitanie
VALFLAUNES;34270;VALFLAUNES;43.8020094105;3.86188285063;Occitanie
MAUGUIO;34280;MAUGUIO;43.5928279472;4.00425693337;Occitanie
LA GRANDE MOTTE;34280;LA GRANDE MOTTE;43.5685394142;4.0758328467;Occitanie
ABEILHAN;34290;ABEILHAN;43.4575019905;3.29923508306;Occitanie
ALIGNAN DU VENT;34290;ALIGNAN DU VENT;43.4688122746;3.33925724714;Occitanie
BASSAN;34290;BASSAN;43.4084026514;3.2545400418;Occitanie
COULOBRES;34290;COULOBRES;43.4507697404;3.27495989155;Occitanie
ESPONDEILHAN;34290;ESPONDEILHAN;43.4372418767;3.25795790915;Occitanie
LIEURAN LES BEZIERS;34290;LIEURAN LES BEZIERS;43.4122997013;3.23066232037;Occitanie
MONTBLANC;34290;MONTBLANC;43.3707718036;3.35755094036;Occitanie
SERVIAN;34290;SERVIAN;43.4143351267;3.30645261407;Occitanie
VALROS;34290;VALROS;43.419189427;3.36141259687;Occitanie
AGDE;34300;AGDE;43.309129116;3.48447903133;Occitanie
AGDE;34300;AGDE;43.309129116;3.48447903133;Occitanie
CAPESTANG;34310;CAPESTANG;43.3217608814;3.04813542922;Occitanie
CRUZY;34310;CRUZY;43.3518501139;2.93451082669;Occitanie
MONTADY;34310;MONTADY;43.3285047609;3.11398724899;Occitanie
MONTELS;34310;MONTELS;43.2896268975;3.02567631465;Occitanie
MONTOULIERS;34310;MONTOULIERS;43.3353694214;2.90623639932;Occitanie
POILHES;34310;POILHES;43.3045807211;3.08955688711;Occitanie
QUARANTE;34310;QUARANTE;43.3507961482;2.980712669;Occitanie
FONTES;34320;FONTES;43.5419967541;3.39026556007;Occitanie
FOS;34320;FOS;43.5681193831;3.24200444843;Occitanie
GABIAN;34320;GABIAN;43.5181480219;3.26449755932;Occitanie
MARGON;34320;MARGON;43.4864901755;3.30406918161;Occitanie
MONTESQUIEU;34320;MONTESQUIEU;43.5621026684;3.27145529278;Occitanie
NEFFIES;34320;NEFFIES;43.5393423873;3.33354409395;Occitanie
NIZAS;34320;NIZAS;43.5137142122;3.41956425429;Occitanie
ROQUESSELS;34320;ROQUESSELS;43.5504361002;3.22634826627;Occitanie
ROUJAN;34320;ROUJAN;43.5109460252;3.30936586252;Occitanie
VAILHAN;34320;VAILHAN;43.5542014743;3.29989404644;Occitanie
CAMBON ET SALVERGUES;34330;CAMBON ET SALVERGUES;43.625504452;2.89047084983;Occitanie
FRAISSE SUR AGOUT;34330;FRAISSE SUR AGOUT;43.5926354982;2.79705531131;Occitanie
LA SALVETAT SUR AGOUT;34330;LA SALVETAT SUR AGOUT;43.6021759228;2.68705591152;Occitanie
LE SOULIE;34330;LE SOULIE;43.5430961388;2.68991254335;Occitanie
MARSEILLAN;34340;MARSEILLAN;43.3605776007;3.54718963761;Occitanie
MARSEILLAN;34340;MARSEILLAN;43.3605776007;3.54718963761;Occitanie
VALRAS PLAGE;34350;VALRAS PLAGE;43.2476112282;3.28929431362;Occitanie
VENDRES;34350;VENDRES;43.2581519414;3.22720260244;Occitanie
ASSIGNAN;34360;ASSIGNAN;43.3998665892;2.8868499773;Occitanie
BABEAU BOULDOUX;34360;BABEAU BOULDOUX;43.4382106135;2.89298078323;Occitanie
BERLOU;34360;BERLOU;43.4985990248;2.94998951427;Occitanie
CEBAZAN;34360;CEBAZAN;43.4057714323;2.98753544728;Occitanie
FERRIERES POUSSAROU;34360;FERRIERES POUSSAROU;43.4833450309;2.903540512;Occitanie
PARDAILHAN;34360;PARDAILHAN;43.4450155578;2.83724812939;Occitanie
PIERRERUE;34360;PIERRERUE;43.4408898427;2.96353265776;Occitanie
PRADES SUR VERNAZOBRE;34360;PRADES SUR VERNAZOBRE;43.4587254561;2.97637908047;Occitanie
ST CHINIAN;34360;ST CHINIAN;43.4211029335;2.93138227583;Occitanie
ST JEAN DE MINERVOIS;34360;ST JEAN DE MINERVOIS;43.3998259676;2.8186318647;Occitanie
VILLESPASSANS;34360;VILLESPASSANS;43.3817686884;2.91141941594;Occitanie
CAZOULS LES BEZIERS;34370;CAZOULS LES BEZIERS;43.3976310061;3.09968408339;Occitanie
CREISSAN;34370;CREISSAN;43.3771624265;2.99976062143;Occitanie
MARAUSSAN;34370;MARAUSSAN;43.370567073;3.1537894615;Occitanie
MAUREILHAN;34370;MAUREILHAN;43.3515394407;3.10170846517;Occitanie
ARGELLIERS;34380;ARGELLIERS;43.7249523063;3.67420720253;Occitanie
CAUSSE DE LA SELLE;34380;CAUSSE DE LA SELLE;43.793318405;3.62922803202;Occitanie
MAS DE LONDRES;34380;MAS DE LONDRES;43.7875830947;3.77381385903;Occitanie
